Thumb,Index,Middle,Ring,Pinky,X,Y,Label
11,98,98,97,65,512,-872,Ã
12,99,100,97,72,504,-880,Ã
13,102,97,97,69,480,-872,Ã
11,99,98,97,69,456,-848,Ã
12,101,97,98,65,480,-872,Ã
11,97,97,96,58,504,-880,Ã
11,96,98,97,63,480,-856,Ã
12,101,99,99,74,472,-856,Ã
12,102,99,98,72,480,-872,Ã
11,101,98,97,67,480,-848,Ã
11,99,98,98,67,472,-864,Ã
11,99,98,95,63,504,-872,Ã
11,99,98,97,67,512,-856,Ã
12,101,99,98,72,480,-872,Ã
11,102,98,97,67,480,-856,Ã
11,99,99,97,67,504,-856,Ã
12,99,98,96,65,512,-848,Ã
12,97,98,96,63,472,-864,Ã
12,99,99,97,69,456,-864,Ã
11,101,97,99,72,480,-872,Ã
11,99,97,97,69,480,-864,Ã
12,101,98,96,67,480,-872,Ã
11,97,97,96,58,480,-856,Ã
11,97,97,95,65,464,-864,Ã
12,100,98,97,72,520,-856,Ã
12,100,98,98,69,520,-864,Ã
12,99,99,95,69,488,-880,Ã
12,99,97,95,63,488,-872,Ã
11,96,97,97,51,472,-864,Ã
10,98,98,96,65,456,-856,Ã
12,100,98,97,69,472,-872,Ã
12,100,98,97,69,496,-880,Ã
12,100,98,97,67,488,-872,Ã
11,100,97,97,65,472,-872,Ã
11,97,98,95,60,488,-856,Ã
12,98,98,95,65,472,-864,Ã
12,101,99,97,72,512,-864,Ã
11,99,98,96,72,480,-872,Ã
12,99,97,97,69,472,-872,Ã
12,97,98,96,65,456,-872,Ã
11,98,97,95,60,496,-872,Ã
12,99,98,97,65,520,-872,Ã
12,100,99,97,67,496,-872,Ã
12,101,97,97,72,480,-864,Ã
12,99,98,95,65,504,-880,Ã
12,97,97,95,60,472,-872,Ã
12,97,98,96,67,480,-872,Ã
12,99,98,96,72,480,-872,Ã
13,99,97,97,69,472,-872,Ã
12,101,96,97,60,496,-856,Ã
12,100,98,96,67,504,-880,Ã
12,97,97,95,63,480,-872,Ã
12,97,98,95,65,456,-856,Ã
12,99,98,97,69,496,-880,Ã
12,99,97,97,67,488,-880,Ã
13,100,98,96,65,472,-880,Ã
12,98,96,97,65,480,-872,Ã
12,96,97,95,60,472,-864,Ã
11,98,98,95,58,488,-872,Ã
12,99,98,97,69,480,-872,Ã
12,99,98,96,69,480,-872,Ã
12,100,97,95,67,472,-864,Ã
